Date,B1,B2,B3,B4,B5,S1
2009-10-31,23,39,36,27,30,2
2009-11-02,17,34,23,40,9,9
2009-11-04,33,18,19,22,23,1
2009-11-07,1,41,13,3,18,1
2009-11-09,3,2,29,48,1,9
2009-11-11,41,47,22,17,7,6
2009-11-14,39,16,47,28,24,9
2009-11-16,20,32,36,19,27,7
2009-11-18,24,20,22,19,1,6
2009-11-21,20,33,46,40,12,6
2009-11-23,13,12,3,37,30,8
2009-11-25,14,33,39,15,11,6
2009-11-28,35,37,41,15,39,4
2009-11-30,12,43,7,23,27,6
2009-12-02,10,47,20,28,21,6
2009-12-05,28,22,7,16,39,7
2009-12-07,20,42,43,33,19,5
2009-12-09,1,31,11,22,23,1
2009-12-12,4,30,13,18,39,1
2009-12-14,46,8,26,13,38,2
2009-12-16,39,15,23,49,30,5
2009-12-19,40,15,16,6,9,6
2009-12-21,38,42,28,3,27,9
2009-12-23,24,44,18,17,15,6
2009-12-26,7,6,41,25,16,5
2009-12-28,23,12,15,27,46,6
2009-12-30,21,39,5,2,15,10
2010-01-02,43,5,23,49,17,4
2010-01-04,33,21,41,18,32,9
2010-01-06,19,49,31,44,38,3
2010-01-09,35,4,14,23,46,7
2010-01-11,24,20,31,36,6,4
2010-01-13,31,4,14,37,7,8
2010-01-16,21,38,32,3,33,10
2010-01-18,8,7,22,28,38,10
2010-01-20,13,37,48,45,28,9
2010-01-23,24,39,2,13,48,1
2010-01-25,6,8,31,45,36,9
2010-01-27,10,15,43,45,5,9
2010-01-30,44,26,18,21,47,3
2010-02-01,29,1,39,40,18,2
2010-02-03,44,48,7,30,13,7
2010-02-06,16,37,18,5,34,5
2010-02-08,36,13,24,7,42,4
2010-02-10,6,45,19,12,11,10
2010-02-13,1,7,38,3,14,5
2010-02-15,48,39,24,8,15,8
2010-02-17,23,40,26,22,29,5
2010-02-20,34,49,36,39,23,8
2010-02-22,41,48,18,11,24,2
2010-02-24,45,2,1,27,31,8
2010-02-27,13,40,2,10,35,1
2010-03-01,19,11,8,48,49,7
2010-03-03,17,37,23,25,2,7
2010-03-06,5,18,26,9,36,9
2010-03-08,23,11,43,49,10,10
2010-03-10,36,13,44,1,48,2
2010-03-13,32,37,16,6,8,7
2010-03-15,18,15,1,4,38,6
